,Forest area,CO2 emissions,Life expectancy,GNI per capita
0,0.01893868560851615,0.9913009806255806,0.3082780102570557,0.0034347399411187437
1,0.29551026730246066,0.931099932650993,0.7617908945033509,0.06194798822374877
2,0.008318252849119261,0.8320459197968084,0.6819998112198346,0.04158488714425908
3,0.5484256586390882,0.9744736629024554,0.2983985149293648,0.018032384690873406
4,0.18938093655197474,0.7680882962337465,0.8200610389201772,0.1814278704612365
5,0.10710682601149075,0.8462913275739363,0.7272755875782649,0.10782630029440628
6,0.118366040144778,0.8919037521309169,0.6102633483308687,0.05213444553483808
7,0.17877325621046528,0.3282967626347474,0.9572098291539503,0.655053974484789
8,0.48500989797859795,0.6993566303489067,0.8939684737123618,0.5981354268891069
9,0.14050867331064573,0.846599742990243,0.4433502186703582,0.05225711481844946
10,0.5228426718222351,0.7261402555524339,0.6261208822326403,0.28275269872423947
11,0.009071925768069596,0.0,0.8305383381052766,0.27894995093228653
12,0.14846093018915832,0.9782147401918245,0.603813359343045,0.02551521099116781
13,0.1503334519899076,0.8235404039217802,0.7745020923135009,0.1963935230618253
14,0.44337305519023706,0.7352471293712525,0.6192058494224943,0.07580961727183513
15,0.2336260770370929,0.6643530142953151,0.8783979470540704,0.5620706575073602
16,0.5747023754492421,0.922142827902845,0.6316898971148097,0.06121197252208047
17,0.28536460637333994,0.9727209618443989,0.23002863165843374,0.012389597644749754
18,0.7334533659822313,0.9404187800939615,0.5925180127741243,0.032139352306182534
19,0.48167240402607764,0.931331674575163,0.3678066891105307,0.03557409224730128
20,0.4386321202943536,0.713833911108625,0.7377528867633638,0.07237487733071639
21,0.2762613696469759,0.8983391590445464,0.40493345499166233,0.07114818449460256
22,0.6099274919627405,0.9129643428402057,0.6680300789730359,0.09433267909715408
23,0.7401970792365689,0.012353781264623276,0.6927602806531794,0.38015210991167814
24,0.36807792543303813,0.7771316256676464,0.6570033220704736,0.11420510304219823
25,0.2331800938966863,0.9899314092469023,0.2187962118113457,0.006501472031403337
26,0.11171334162876298,0.9988243318804182,0.27653147909259673,0.0
27,0.11638979100166924,0.952946056201662,0.6931693043450903,0.03643277723258096
28,0.46917857382522393,0.9496453421156256,0.5549822232010821,0.016069676153091267
29,0.44168018188135966,0.9844060864040889,0.2534688355410124,0.015947006869479884
30,0.3971851252054123,0.3817631046920772,0.9090862349330789,0.5347154072620216
31,0.36746351063696137,0.9994669559036468,0.05748356039392122,0.002944062806673209
32,0.03508184186762922,0.9971909178434626,0.0,0.005397448478900883
33,0.25136613086100495,0.8011984111952927,0.8369254003712674,0.15689401373895975
34,0.24047509609349305,0.6480386696499159,0.7960230311801906,0.12634936211972522
35,0.5471737610031541,0.930748620488571,0.691942233269358,0.06844946025515211
36,0.18152570613113572,0.9829328340835918,0.35833621747475053,0.015947006869479884
37,0.5712210322707864,1.0,0.21904791869867526,0.003925417075564278
38,0.6596796916448014,0.9443133020100195,0.34634867696567334,0.018891069676153092
39,0.6101312882537794,0.9395100606579425,0.8337790642796463,0.13837095191364082
40,0.09149922684221064,0.9829676871050042,0.1968033225309126,0.025392541707556428
41,0.3556694233096658,0.8255530322624675,0.7849287431615155,0.17725711481844947
42,0.191614236858163,0.7521266333103364,0.9002926092565209,0.3237242394504416
43,0.35593919050820527,0.6230718666822368,0.8007371635242956,0.26472031403336604
44,0.16120401991276478,0.7877621827885946,0.9068684516880091,0.7644749754661433
45,0.002485915000394437,0.9836064940363505,0.31202215020608504,0.03201668302257115
46,0.6551944923160941,0.8984391835571752,0.6567032690431992,0.08488714425907752
47,0.45556671924026965,0.9066912686861982,0.6327911147468771,0.08525515210991168
48,0.5165427649883606,0.9122784254427607,0.6096340811125446,0.06562806673209029
49,0.0003809703463131389,0.9121167789507806,0.5730421923669884,0.034224730127576056
50,0.2892227032859889,0.9553098329116538,0.5752760909920399,0.0436702649656526
51,0.8960575446937099,0.877273677222933,0.24953591542648576,0.05986261040235525
52,0.5855046691223594,0.7582146859204997,0.8123248891300231,0.286432777232581
53,0.29690585804837527,0.9571869797150551,0.21756914073561334,0.03851815505397448
54,0.15518773476483233,0.9944474481805864,0.3962495673787872,0.008096172718351325
55,0.6405318636881133,0.9505789489917548,0.47657552779787954,0.05471050049067713
56,0.7568672109520684,0.7020908226924023,0.9172513607903597,0.6110157016683022
57,0.323414954390893,0.8214838883583724,0.9251172010194131,0.4787782139352306
58,0.9374622035404838,0.8951579052309481,0.4327470660415947,0.08108439646712463
59,0.2461003876118646,0.990660690792655,0.30944215461095553,0.005888125613346418
60,0.4169009757206341,0.8759531377588818,0.6288896579932668,0.049558390578999016
61,0.3354542450219072,0.670865387878733,0.8892950135177343,0.5867271835132483
62,0.3602402346786573,0.974011379998956,0.35670012270710766,0.024656526005888125
63,0.3106842370474271,0.7842448750581136,0.8970457438897766,0.2176153091265947
64,0.5343797561081102,0.88190648501781,0.696819054211371,0.09396467124631992
65,0.3378996310640406,0.9558964496800592,0.5984331246263724,0.052379784102060845
66,0.2585018851642178,0.9858249730624951,0.2060850140011955,0.008954857703631011
67,0.7228118814828024,0.9940474997580485,0.2272283925368908,0.006378802747791953
68,0.9603507085535489,0.843231152232082,0.4942579366327912,0.09776741903827281
69,0.12929154942145812,0.9885514698672904,0.3547493943303025,0.013616290480863592
70,0.5834136949169773,0.9617064336015944,0.5878928987194413,0.023675171736997055
71,0.23087540655511346,0.7922438472645066,0.7170906674299736,0.19406280667320902
72,0.0051455309297866935,0.8215993913585959,0.9529123944922234,0.7592001962708538
73,0.2490877305180771,0.9296625168494741,0.5466129691973698,0.020608439646712464
74,0.5037132331366401,0.9070796497581376,0.5043891388478119,0.045142296368989206
